,YYYY,DrugCode_0,DrugCode_1,StateCode_0,StateCode_1,StateCode_2,CountyCode_0,CountyCode_1,CountyCode_2,CountyCode_3,CountyCode_4,CountyCode_5,CountyCode_6,CountyCode_7,Target
101,14.0,0,1,0,0,0,0,0,0,0,0,0,0,1,107.0947551909093
102,15.0,0,1,0,0,0,0,0,0,0,0,0,0,1,122.123701219505
103,14.0,1,0,0,0,0,0,0,0,0,0,0,0,1,86.4296275225966
104,8.0,0,0,0,0,1,0,0,0,0,0,0,0,1,89.67192781710887
105,9.0,0,0,0,0,1,0,0,0,0,0,0,0,1,92.91422811162114
106,10.0,0,0,0,0,1,0,0,0,0,0,0,0,1,96.15652840613342
107,11.0,0,0,0,0,1,0,0,0,0,0,0,0,1,99.39882870064568
108,12.0,0,0,0,0,1,0,0,0,0,0,0,0,1,102.64112899515794
109,13.0,0,0,0,0,1,0,0,0,0,0,0,0,1,105.88342928967022
110,14.0,0,0,0,0,1,0,0,0,0,0,0,0,1,109.1257295841825
111,15.0,0,0,0,0,1,0,0,0,0,0,0,0,1,86.4296275225966
112,8.0,0,1,0,0,1,0,0,0,0,0,0,0,1,89.67192781710887
113,9.0,0,1,0,0,1,0,0,0,0,0,0,0,1,92.91422811162114
114,10.0,0,1,0,0,1,0,0,0,0,0,0,0,1,96.15652840613342
115,11.0,0,1,0,0,1,0,0,0,0,0,0,0,1,99.39882870064568
116,12.0,0,1,0,0,1,0,0,0,0,0,0,0,1,102.64112899515794
117,13.0,0,1,0,0,1,0,0,0,0,0,0,0,1,105.88342928967022
118,14.0,0,1,0,0,1,0,0,0,0,0,0,0,1,109.1257295841825
119,15.0,0,1,0,0,1,0,0,0,0,0,0,0,1,104.70087384570456
120,8.0,1,0,0,0,1,0,0,0,0,0,0,0,1,107.94317414021683
121,9.0,1,0,0,0,1,0,0,0,0,0,0,0,1,111.18547443472912
122,10.0,1,0,0,0,1,0,0,0,0,0,0,0,1,114.42777472924138
123,11.0,1,0,0,0,1,0,0,0,0,0,0,0,1,117.67007502375364
124,12.0,1,0,0,0,1,0,0,0,0,0,0,0,1,120.9123753182659
125,13.0,1,0,0,0,1,0,0,0,0,0,0,0,1,124.15467561277819
126,14.0,1,0,0,0,1,0,0,0,0,0,0,0,1,127.39697590729045
127,15.0,1,0,0,0,1,0,0,0,0,0,0,0,1,82.85900847179639
128,8.0,0,0,0,1,0,0,0,0,0,0,0,0,1,86.10130876630865
129,9.0,0,0,0,1,0,0,0,0,0,0,0,0,1,89.34360906082092
130,10.0,0,0,0,1,0,0,0,0,0,0,0,0,1,92.5859093553332
131,11.0,0,0,0,1,0,0,0,0,0,0,0,0,1,95.82820964984546
132,12.0,0,0,0,1,0,0,0,0,0,0,0,0,1,99.07050994435772
133,13.0,0,0,0,1,0,0,0,0,0,0,0,0,1,102.31281023887
134,14.0,0,0,0,1,0,0,0,0,0,0,0,0,1,105.55511053338228
135,15.0,0,0,0,1,0,0,0,0,0,0,0,0,1,82.85900847179639
136,8.0,0,1,0,1,0,0,0,0,0,0,0,0,1,86.10130876630865
137,9.0,0,1,0,1,0,0,0,0,0,0,0,0,1,89.34360906082092
