,0,1,2,3,target
83,0,21,29,2019,2.1
84,0,21,29,2020,4.6
85,0,21,29,2021,4.6
86,0,21,29,2022,5.5
87,0,21,29,2023,5.5
88,0,21,29,2024,6.0
89,0,21,29,2025,6.0
90,0,21,31,2018,3.5
91,0,21,31,2022,5.0
92,0,21,31,2024,14.1
93,0,21,33,2019,3.6
94,0,21,33,2022,19.6
95,0,21,33,2024,23.4
96,0,21,33,2025,23.4
97,0,21,35,2019,1.7
98,0,21,35,2021,1.0
99,0,21,35,2023,50.1
100,0,21,35,2024,17.9
101,0,21,35,2025,17.9
102,0,21,37,2018,15.8
103,0,21,37,2019,13.6
104,0,21,37,2020,12.2
105,0,21,37,2021,12.2
106,0,21,37,2022,50.3
107,0,21,37,2023,50.3
108,0,21,37,2024,76.2
109,0,21,37,2025,76.2
110,0,21,39,2018,5.1
111,0,21,41,2018,2.2
112,0,21,41,2019,2.2
113,0,21,41,2020,3.2
114,0,21,41,2022,11.5
115,0,21,41,2023,11.5
116,0,21,41,2024,6.2
117,0,21,41,2025,6.2
118,0,21,43,2018,2.6
119,0,21,43,2019,2.6
120,0,21,43,2020,2.0
121,0,21,43,2021,2.0
122,0,21,43,2022,15.6
123,0,21,43,2023,15.6
124,0,21,43,2024,15.6
125,0,21,43,2025,15.6
126,0,21,45,2018,3.0
127,0,21,45,2019,2.5
128,0,21,45,2020,3.8
129,0,21,45,2021,4.2
130,0,21,45,2023,44.0
131,0,21,45,2024,1.4
132,0,21,47,2018,1.8
133,0,21,47,2022,16.9
134,0,21,47,2024,10.4
135,0,21,49,2018,3.3
136,0,21,49,2019,3.2
137,0,21,49,2020,2.0
138,0,21,49,2021,2.0
139,0,21,49,2022,6.6
140,0,21,49,2023,6.6
141,0,21,49,2024,6.9
142,0,21,49,2025,6.9
143,0,21,51,2018,6.3
144,0,21,51,2019,5.9
145,0,21,51,2021,4.0
146,0,21,51,2022,5.0
147,0,21,51,2023,5.0
148,0,21,51,2024,4.5
149,0,21,53,2020,1.4
150,0,21,53,2021,1.4
151,0,21,53,2022,7.1
152,0,21,53,2023,7.1
153,0,21,53,2025,3.3
154,0,21,55,2018,5.1
155,0,21,55,2023,4.0
156,0,21,57,2022,1.2
157,0,21,57,2023,1.2
158,0,21,57,2024,2.2
159,0,21,59,2018,1.8
160,0,21,59,2019,1.8
161,0,21,59,2021,1.4
162,0,21,59,2022,3.9
163,0,21,59,2023,3.9
164,0,21,59,2024,2.5
165,0,21,59,2025,2.5
166,0,21,61,2018,2.7
167,0,21,61,2019,2.0
168,0,21,61,2021,1.9
169,0,21,61,2022,25.5
170,0,21,61,2023,25.5
171,0,21,61,2024,1.9
172,0,21,63,2020,2.2
173,0,21,63,2025,2.7
174,0,21,65,2019,5.3
175,0,21,65,2020,4.9
176,0,21,65,2022,6.5
177,0,21,65,2024,48.0
178,0,21,65,2025,48.0
179,0,21,67,2018,25.7
180,0,21,67,2019,24.3
181,0,21,67,2020,26.4
182,0,21,67,2021,26.4
183,0,21,67,2022,28.6
184,0,21,67,2023,28.6
185,0,21,67,2024,64.6
186,0,21,67,2025,64.6
187,0,21,69,2018,7.6
188,0,21,69,2019,7.5
189,0,21,69,2020,4.1
190,0,21,69,2021,4.1
191,0,21,69,2023,14.3
192,0,21,69,2025,7.6
193,0,21,71,2018,9.6
194,0,21,71,2019,9.6
195,0,21,71,2020,11.6
196,0,21,71,2021,11.6
197,0,21,71,2022,23.2
198,0,21,71,2023,23.2
199,0,21,71,2024,18.8
200,0,21,71,2025,18.8
201,0,21,73,2018,4.6
202,0,21,73,2019,4.6
203,0,21,73,2020,4.8
204,0,21,73,2021,4.8
205,0,21,73,2022,1.8
206,0,21,73,2023,1.8
207,0,21,73,2024,4.4
208,0,21,73,2025,4.4
209,0,21,75,2018,8.5
210,0,21,75,2025,27.7
211,0,21,77,2018,4.5
212,0,21,77,2019,4.5
213,0,21,77,2022,2.1
214,0,21,77,2025,5.2
215,0,21,79,2018,6.2
216,0,21,79,2022,3.7
217,0,21,79,2024,21.5
218,0,21,79,2025,21.5
219,0,21,81,2018,1.4
220,0,21,81,2019,1.4
221,0,21,81,2020,1.5
222,0,21,81,2021,1.5
223,0,21,81,2022,7.2
224,0,21,81,2023,7.2
225,0,21,81,2024,12.5
226,0,21,81,2025,12.5
227,0,21,83,2019,2.0
228,0,21,83,2020,2.2
229,0,21,83,2021,2.2
230,0,21,83,2022,6.5
231,0,21,83,2023,6.5
232,0,21,83,2024,5.8
233,0,21,83,2025,5.8
234,0,21,85,2018,18.1
235,0,21,85,2019,18.1
236,0,21,85,2024,5.4
237,0,21,85,2025,5.4
238,0,21,87,2020,2.3
239,0,21,89,2018,2.8
240,0,21,89,2019,2.8
241,0,21,89,2020,4.7
242,0,21,89,2022,5.1
243,0,21,89,2023,5.1
244,0,21,89,2024,6.7
245,0,21,89,2025,6.7
246,0,21,93,2018,5.9
247,0,21,93,2019,5.9
248,0,21,93,2020,1.0
249,0,21,93,2021,1.0
250,0,21,93,2022,9.9
251,0,21,93,2023,9.9
252,0,21,93,2024,18.1
253,0,21,93,2025,18.1
254,0,21,95,2018,37.0
255,0,21,95,2019,37.0
256,0,21,95,2020,13.4
257,0,21,95,2021,13.4
258,0,21,95,2022,9.7
259,0,21,95,2023,9.7
260,0,21,95,2024,2.8
261,0,21,95,2025,2.8
262,0,21,97,2018,3.1
