121) HC02_VC78                      0.000382,,,,
122) HC04_VC71                      0.000374,,,,
123) HC02_VC157                     0.000364,,,,
124) HC02_VC124                     0.000352,,,,
125) HC02_VC90                      0.000349,,,,
126) HC03_VC13                      0.000347,,,,
127) HC02_VC91                      0.000343,,,,
128) HC03_VC139                     0.000341,,,,
129) HC02_VC192                     0.000334,,,,
130) HC01_VC188                     0.000332,,,,
131) HC02_VC123                     0.000332,,,,
132) HC01_VC174                     0.000330,,,,
133) HC03_VC175                     0.000314,,,,
134) HC02_VC99                      0.000314,,,,
135) HC01_VC57                      0.000313,,,,
136) HC02_VC109                     0.000313,,,,
137) HC02_VC193                     0.000310,,,,
138) HC03_VC187                     0.000304,,,,
139) HC02_VC186                     0.000302,,,,
140) HC02_VC85                      0.000284,,,,
141) HC02_VC106                     0.000283,,,,
142) HC03_VC151                     0.000281,,,,
143) HC04_VC39                      0.000280,,,,
144) HC02_VC110                     0.000275,,,,
145) HC03_VC120                     0.000275,,,,
146) HC03_VC90                      0.000273,,,,
147) HC03_VC130                     0.000272,,,,
148) HC02_VC189                     0.000270,,,,
149) HC01_VC84                      0.000269,,,,
150) HC03_VC183                     0.000266,,,,
151) 1                              0.000260,,,,
152) HC01_VC122                     0.000260,,,,
153) HC03_VC124                     0.000251,,,,
154) HC01_VC38                      0.000249,,,,
155) HC03_VC159                     0.000248,,,,
156) HC03_VC44                      0.000242,,,,
157) HC01_VC185                     0.000239,,,,
158) HC02_VC104                     0.000237,,,,
159) HC02_VC67                      0.000237,,,,
160) HC03_VC121                     0.000234,,,,
161) HC03_VC08                      0.000223,,,,
162) HC02_VC139                     0.000221,,,,
163) HC01_VC162                     0.000220,,,,
164) HC02_VC166                     0.000219,,,,
165) HC02_VC47                      0.000217,,,,
166) HC03_VC208                     0.000217,,,,
167) HC03_VC138                     0.000216,,,,
168) HC03_VC43                      0.000216,,,,
169) HC03_VC07                      0.000215,,,,
170) HC01_VC184                     0.000214,,,,
171) HC02_VC120                     0.000212,,,,
172) HC03_VC64                      0.000211,,,,
173) HC02_VC56                      0.000211,,,,
174) HC02_VC134                     0.000211,,,,
175) HC02_VC178                     0.000207,,,,
176) HC04_VC52                      0.000207,,,,
177) HC02_VC87                      0.000206,,,,
178) HC02_VC27                      0.000205,,,,
179) HC03_VC202                     0.000202,,,,
180) HC01_VC160                     0.000201,,,,
181) HC01_VC191                     0.000200,,,,
182) HC03_VC162                     0.000200,,,,
183) HC02_VC208                     0.000199,,,,
184) HC01_VC28                      0.000197,,,,
185) HC03_VC188                     0.000197,,,,
186) HC02_VC84                      0.000196,,,,
187) HC02_VC191                     0.000194,,,,
188) HC03_VC71                      0.000194,,,,
189) HC01_VC202                     0.000190,,,,
190) HC03_VC06                      0.000190,,,,
191) HC04_VC148                     0.000190,,,,
192) HC03_VC87                      0.000189,,,,
193) HC03_VC79                      0.000188,,,,
194) HC03_VC65                      0.000188,,,,
195) HC01_VC79                      0.000184,,,,
196) HC04_VC152                     0.000183,,,,
197) HC01_VC89                      0.000183,,,,
198) HC01_VC161                     0.000182,,,,
199) HC02_VC28                      0.000179,,,,
200) HC03_VC28                      0.000172,,,,
201) HC02_VC37                      0.000172,,,,
202) HC03_VC70                      0.000169,,,,
203) HC02_VC159                     0.000166,,,,
204) HC02_VC103                     0.000166,,,,
205) HC02_VC201                     0.000166,,,,
206) HC02_VC185                     0.000165,,,,
207) HC03_VC198                     0.000161,,,,
208) HC03_VC132                     0.000161,,,,
209) HC01_VC10                      0.000160,,,,
210) HC02_VC04                      0.000158,,,,
211) HC03_VC140                     0.000158,,,,
212) HC03_VC191                     0.000156,,,,
213) HC02_VC42                      0.000155,,,,
214) HC01_VC90                      0.000153,,,,
215) HC02_VC98                      0.000153,,,,
216) HC02_VC160                     0.000152,,,,
217) HC01_VC209                     0.000151,,,,
218) HC04_VC120                     0.000150,,,,
219) HC04_VC130                     0.000147,,,,
220) HC02_VC44                      0.000146,,,,
221) HC03_VC152                     0.000143,,,,
222) HC02_VC152                     0.000139,,,,
223) HC03_VC76                      0.000139,,,,
224) HC02_VC190                     0.000137,,,,
225) HC03_VC131                     0.000136,,,,
226) HC03_VC11                      0.000135,,,,
227) HC04_VC62                      0.000135,,,,
228) HC02_VC197                     0.000134,,,,
229) HC03_VC182                     0.000131,,,,
230) HC02_VC107                     0.000131,,,,
231) HC02_VC207                     0.000129,,,,
232) HC01_VC98                      0.000127,,,,
233) HC03_VC40                      0.000127,,,,
234) HC01_VC189                     0.000126,,,,
235) HC01_VC39                      0.000126,,,,
236) HC01_VC156                     0.000124,,,,
237) HC04_VC06                      0.000124,,,,
238) HC03_VC201                     0.000124,,,,
239) HC04_VC140                     0.000123,,,,
240) HC02_VC52                      0.000121,,,,
241) HC03_VC172                     0.000120,,,,
242) HC01_VC53                      0.000119,,,,
243) HC03_VC185                     0.000118,,,,
244) HC03_VC174                     0.000118,,,,
245) HC01_VC168                     0.000115,,,,
246) HC02_VC200                     0.000115,,,,
247) HC01_VC196                     0.000114,,,,
248) HC03_VC192                     0.000114,,,,
249) HC04_VC189                     0.000111,,,,
250) HC02_VC151                     0.000110,,,,
251) HC02_VC184                     0.000110,,,,
252) HC03_VC10                      0.000109,,,,
253) HC01_VC173                     0.000109,,,,
254) HC02_VC70                      0.000108,,,,
255) HC02_VC30                      0.000106,,,,
256) HC04_VC184                     0.000106,,,,
257) HC03_VC25                      0.000106,,,,
258) HC04_VC31                      0.000105,,,,
259) HC01_VC107                     0.000105,,,,
260) HC01_VC132                     0.000102,,,,
261) HC01_VC172                     0.000101,,,,
262) HC01_VC71                      0.000101,,,,
